Autauga County (AL),10.5
Baldwin County (GA),17.0
Barbour County (WV),19.4
Bibb County (GA),17.2
Blount County (TN),10.0
Bullock County (AL),28.6
Butler County (PA),7.0
Calhoun County (WV),21.2
Chambers County (TX),10.1
Cherokee County (TX),19.1
Chilton County (AL),15.3
Choctaw County (OK),24.2
Clarke County (VA),6.5
Clay County (WV),24.2
Cleburne County (AR),14.2
Coffee County (TN),12.6
Colbert County (AL),13.1
Conecuh County (AL),22.8
Coosa County (AL),14.5
Covington city (VA),13.0
Crenshaw County (AL),19.1
Cullman County (AL),12.8
Dale County (AL),15.3
Dallas County (TX),12.0
DeKalb County (TN),15.5
Elmore County (ID),11.5
Escambia County (FL),14.8
Etowah County (AL),15.5
Fayette County (WV),20.6
Franklin County (WA),16.7
Geneva County (AL),18.4
Greene County (VA),7.1
Hale County (TX),20.1
Henry County (VA),11.1
Houston County (TX),23.4
Jackson County (WI),10.2
Jefferson County (WI),5.3
Lamar County (TX),17.8
Lauderdale County (TN),17.9
Lawrence County (TN),14.2
Lee County (VA),22.3
Limestone County (TX),19.7
Lowndes County (MS),18.0
Macon County (TN),15.1
Madison County (VA),9.8
Marengo County (AL),20.5
Marion County (WV),14.4
Marshall County (WV),13.4
Mobile County (AL),17.1
Monroe County (WI),10.4
Montgomery County (VA),12.5
Morgan County (WV),10.8
Perry County (TN),15.0
Pickens County (SC),10.2
Pike County (PA),7.2
Randolph County (WV),16.7
Russell County (VA),16.7
St. Croix County (WI),3.9
Shelby County (TX),20.4
Sumter County (SC),15.2
Talladega County (AL),16.9
Tallapoosa County (AL),15.7
Tuscaloosa County (AL),15.1
Walker County (TX),19.5
Washington County (WI),3.8
Wilcox County (GA),23.1
Winston County (MS),19.4
Apache County (AZ),30.8
Cochise County (AZ),16.7
Coconino County (AZ),15.6
Gila County (AZ),17.8
Graham County (NC),16.3
Greenlee County (AZ),9.7
La Crosse County (WI),8.7
Maricopa County (AZ),10.2
Mohave County (AZ),15.4
Navajo County (AZ),24.3
Pima County (AZ),13.0
Pinal County (AZ),15.8
Santa Fe County (NM),12.3
Yavapai County (AZ),12.0
Yuma County (CO),13.2
Arkansas County (AR),16.2
Ashley County (AR),16.5
Baxter County (AR),12.7
Benton County (WA),9.5
Boone County (WV),18.4
Bradley County (TN),11.7
Calhoun County (WV),21.2
Carroll County (VA),12.3
Chicot County (AR),27.8
Clark County (WI),10.9
Clay County (WV),24.2
Cleburne County (AR),14.2
Cleveland County (OK),9.2
Columbia County (WI),5.8
Conway County (AR),15.7
Craighead County (AR),14.0
Crawford County (WI),10.5
Crittenden County (KY),16.1
Cross County (AR),18.2
Dallas County (TX),12.0
Desha County (AR),22.1
Drew County (AR),17.3
Faulkner County (AR),10.7
Franklin County (WA),16.7
Fulton County (PA),8.9
Garland County (AR),14.7
Grant County (WI),9.2
Greene County (VA),7.1
Hempstead County (AR),18.7
Hot Springs County (WY),12.1
Howard County (TX),21.2
Independence County (AR),14.2
Izard County (AR),18.3
Jackson County (WI),10.2
Jefferson County (WI),5.3
Johnson County (WY),10.5
Lafayette County (WI),8.3
Lawrence County (TN),14.2
Lee County (VA),22.3
Lincoln County (WY),9.0
Little River County (AR),15.9
Logan County (WV),21.8
Lonoke County (AR),10.3
Madison County (VA),9.8
Marion County (WV),14.4
Miller County (MO),13.6
Mississippi County (MO),21.1
Monroe County (WI),10.4
Montgomery County (VA),12.5
Nevada County (CA),8.0
Newton County (TX),20.8
Ouachita Parish (LA),18.4
Perry County (TN),15.0
Phillips County (MT),16.7
Pike County (PA),7.2
Poinsett County (AR),19.1
Polk County (WI),7.1
Pope County (MN),8.0
Prairie County (MT),13.6
Pulaski County (VA),11.2
Randolph County (WV),16.7
St. Croix County (WI),3.9
Saline County (NE),7.8
Scott County (VA),14.1
Searcy County (AR),23.7
Sebastian County (AR),13.4
Sevier County (UT),12.5
Sharp County (AR),19.9
Stone County (MO),12.6
Union County (TN),17.5
Van Zandt County (TX),14.1
Washington County (WI),3.8
White County (TN),15.0
Woodruff County (AR),23.3
Yell County (AR),15.5
Alameda County (CA),8.8
Alpine County (CA),17.7
Amador County (CA),9.9
Butte County (SD),13.9
Calaveras County (CA),10.8
Colusa County (CA),15.1
Contra Costa County (CA),6.7
Del Norte County (CA),21.8
El Paso County (TX),25.3
Fresno County (CA),20.6
